date,weight,fat,LB
2025/2/1,70.6,11.15,59.45
2025/2/2,71.8,10.91,60.89
2025/2/3,72.2,11.84,60.36
2025/2/4,71.4,11.57,59.83
2025/2/5,71.3,11.62,59.68
2025/2/6,71.3,11.41,59.89
2025/2/7,71.2,11.46,59.74
2025/2/8,71.8,11.56,60.24
2025/2/9,71.8,11.7,60.1
2025/2/10,73.1,12.21,60.89
2025/2/11,71.7,11.47,60.23
2025/2/12,73.5,11.91,61.59
2025/2/13,72.4,11.73,60.67
2025/2/14,72.2,11.77,60.43
2025/2/15,72.1,11.82,60.28
2025/2/16,72.5,11.82,60.68
2025/2/17,74.7,11.88,62.82
2025/2/18,73.7,12.23,61.47
2025/2/19,73.1,12.06,61.04
2025/2/20,73.3,12.24,61.06
2025/2/21,73,11.83,61.17
2025/2/22,72.8,12.01,60.79
2025/2/23,73.6,12,61.6
2025/2/24,74.2,12.84,61.36
2025/2/25,74,12.36,61.64
2025/2/26,73.2,11.86,61.34
2025/2/27,73.5,11.91,61.59
2025/2/28,72.8,11.58,61.22
2025/3/1,73.6,12.51,61.09
2025/3/2,73.2,12.15,61.05
2025/3/3,73.3,11.95,61.35
2025/3/4,73.2,12.3,60.9
2025/3/5,72.9,12.54,60.36
2025/3/6,72.4,11.73,60.67
2025/3/7,72.2,11.7,60.5
2025/3/8,72.6,12.05,60.55
2025/3/9,72.5,11.46,61.05
2025/3/10,72.3,11.86,60.44
2025/3/11,72.6,11.98,60.62
2025/3/12,72.3,11.86,60.44
2025/3/13,72.2,11.91,60.29
2025/3/14,72.6,11.91,60.69
2025/3/15,72,11.16,60.84
2025/3/16,72.1,12.04,60.06
2025/3/17,72.8,12.3,60.5
2025/3/18,72.2,12.06,60.14
2025/3/19,71.9,11.5,60.4
2025/3/20,72.2,12.06,60.14
2025/3/21,72.2,11.84,60.36
2025/3/22,72.1,12.04,60.06
2025/3/23,72.4,12.09,60.31
2025/3/24,72.3,12,60.3
2025/3/25,72.4,11.87,60.53
2025/3/26,71.7,11.4,60.3
2025/3/27,72,11.66,60.34
2025/3/28,71,10.86,60.14
2025/3/29,71.3,11.41,59.89
2025/3/30,71,10.72,60.28
2025/3/31,71.8,11.34,60.46
2025/4/1,71.7,11.42,60.26
2025/4/2,70.9,10.56,60.34
2025/4/3,70.8,10.9,59.9
2025/4/4,70.8,11.12,59.68
2025/4/5,70.6,11.3,59.3
2025/4/6,71.2,10.47,60.73
2025/4/7,71.4,10.64,60.76
2025/4/8,71.1,10.45,60.65
2025/4/9,71.3,10.84,60.46
2025/4/10,71,10.44,60.56
2025/4/11,70.4,11.05,59.35
2025/4/12,70.5,10.86,59.64
2025/4/13,70.2,9.97,60.23
2025/4/14,70.9,10.99,59.91
2025/4/15,70.8,10.55,60.25
2025/4/16,69.6,10.23,59.37
2025/4/17,69.7,10.46,59.25
2025/4/18,69.9,10.21,59.69
2025/4/19,70.1,10.8,59.3
2025/4/20,70,10.78,59.22
2025/4/21,69.8,10.05,59.75
2025/4/22,69.4,10.34,59.06
2025/4/23,69.4,9.65,59.75
2025/4/24,69.8,10.54,59.26
2025/4/25,68.8,9.49,59.31
2025/4/26,69.1,10.02,59.08
2025/4/27,69.6,10.09,59.51
2025/4/28,70.4,10.77,59.63
2025/4/29,69.1,10.16,58.94
2025/4/30,68.6,9.81,58.79
2025/5/1,68.6,9.6,59
2025/5/2,68.5,9.38,59.12
2025/5/3,68.4,9.44,58.96
2025/5/4,69.3,9.84,59.46
2025/5/5,69.2,9.69,59.51
2025/5/6,68.5,9.25,59.25
2025/5/7,69,10.14,58.86
2025/5/8,68.9,9.51,59.39
2025/5/9,68.8,10.11,58.69
2025/5/10,68.6,9.47,59.13
2025/5/11,68.2,9.68,58.52
2025/5/12,69.4,9.85,59.55
2025/5/13,68.4,9.3,59.1
2025/5/14,68.5,9.45,59.05
2025/5/15,68.5,9.38,59.12
2025/5/16,68.2,9.21,58.99
2025/5/17,68.8,9.84,58.96
2025/5/18,69.2,9.62,59.58
2025/5/19,68.9,9.51,59.39
2025/5/20,68.4,9.58,58.82
2025/5/21,68.3,9.49,58.81
2025/5/22,68.1,9.47,58.63
2025/5/23,67.7,9.07,58.63
2025/5/24,67.9,9.71,58.19
2025/5/25,68.7,9.62,59.08
2025/5/26,68.8,9.84,58.96
2025/5/27,68.7,9.76,58.94
2025/5/28,68.2,9.55,58.65
2025/5/29,68.7,9.55,59.15
2025/5/30,67.8,8.88,58.92
2025/5/31,68.3,9.43,58.87
